LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,56,E3362,,62.5,N,4,E,Europe,Norway,,Mid Norway Basin off the central coast,M  - U,Triassic,Ladinian and Carnian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,57,E3363,,59,N,3,E,Europe,Norway,,More Basin off the southwestern coast,M  - U,Triassic,Ladinian and Carnian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,58,E3364,,65,N,9,E,Europe,Norway,,offshore Trondelag Platform,L   -  M,Triassic,,,Evaporites,,,Ehrenberg et al.(1992),
E,59,E3365,,52,N,20,E,Europe,Poland,,Polish Trough of central Poland,M  - U,Triassic,Ladinian-Norian,,Evaporites,,,"Ziegler(1988, PL. 30)",
E,60,E3366,,49,N,20,E,Europe,Poland,,Zakopane? In the Tara,L -M -U?,Triassic,,,Evaporites,,,Mader(1992),
E,61,E3367,,51,N,21,E,Europe,Poland,, Holy Cross Mountians,L -M -U?,Triassic,,,Evaporites,,,Mader(1992),
E,62,E3368,,49,N,18,E,Europe,Slovakia,,,L -M -U?,Triassic,,,Evaporites,Meliata,,Kantor(1975),
E,63,E3369,,42,N,-2,W,Europe,Spain,,northeastern Spain,Middle,Triassic,,,Evaporites,Keuper and Muschelkalk,,Virgili(1963),see also Calvet et al.(1990)
E,64,E3370,,39.5,N,3,E,Europe,Spain,,Mollorca from the Lutitas y Areniscas de Son Serralta,Middle,Triassic,Anisian,,Evaporites,,breccias,Ramos(1995)
E,65,E3371,,47,N,8,E,Europe,Switzerland,,,Middle,Triassic,,,Evaporites,Muschelkalk,,Hauber(1980)
E,66,E3372,,43,N,17,E,Europe,Frm Yugoslavia,,western Balkans,L   -  M,Triassic,pre-Carnian,Permo-Triassic,Evaporites,,,Gill(1965)
E,67,E3372.1,,58,N,-120,W,North America,Canada,,Alberta:Peace River Basin,Middle,Triassic,Ladinian,,Evaporites,,,Davies(1997)
E,68,E3372.2,,51,N,-115.5,W,North America,Canada,,Alberta,L -M -U?,Triassic,,,Evaporites,Starlight Evaporite Member,,Gibson(1974)
E,69,E3372.3,,52.75,N,-117.6,W,North America,Canada,,Alberta,L -M -U?,Triassic,,,Evaporites,Starlight Evaporite Member,,Gibson(1974)
E,70,E3373,,73.5,N,-21,W,North America,Greenland,,east-central Greenland,L   -  M,Triassic,,,Evaporites,,,"Birkelund,Perch-Nielsen(1976)"
E,71,E3373.1,,71.5,N,-23,W,North America,Greenland,,,Middle,Triassic,Anisian and Ladinian,,Evaporites,Gipsdalen,,Clemmensen et al.(1998)
E,72,E3374,,17,N,-91,W,North America,Mexico,,Chiapas and adjacent Guatemala,L -M -U?,Triassic,,poorly dated,Evaporites,,,Peterson(1983)
E,73,E3375,,43,N,-117,W,North America,United States,,"Idaho and Oregon:Washington County,Idaho and Baker County,Oregon",L -M -U?,Triassic,,"""Triassic""",Evaporites,,,Johnson et al.(1989)
E,74,E3376,,42,N,-104,W,North America,United States,,Nebraska andWyoming,L   -  M,Triassic,,,Evaporites,Lykins,,Johnson et al.(1989)
E,75,E3377,,48,N,-103,W,North America,United States,,"North Dakota:Williston Basin,on the U.S. side",L   -  M,Triassic,,,Evaporites,Spearfish,,Reed(1963)
E,76,E3378,,44,N,-104,W,North America,United States,,Wyoming,L   -  M,Triassic,,,Evaporites,Spearfish,,Johnson et al.(1989)
CA,77,CA3378.2,,-21,S,16.5,E,Africa,Namibia,,central Namibia,Middle,Triassic,Anisian,,Calcretes,Omingonde Frm-Karoo Supergroup,,"Smith,Smart(2002)"
CA,78,CA3378.1,,-71,S,68,E,Antarctica,,,,Middle,Triassic,,might be M.Triassic age in view of its stratagraphic position,Calcretes,Jetty Member of the Flagstone Bench,unfossiliferous,"McLoughlin,Drinnan(1997)"
CA,79,CA3379,,26,N,105.5,E,Asia,China,,Guanling,Middle,Triassic,Ladinian,,Calcretes,Longtou,,Fan Jia-song(1996)
CA,80,CA3380,,15,N,78,E,Asia,India,,,Middle,Triassic,,,Calcretes,Yerrapalli,calcrete type carbonate nodules,Bandyopadhyay(1988)
CA,81,CA3380.1,,22,N,78,E,Asia,India,,Satpura Basin,L -M -U?,Triassic,,,Calcretes,Denwa,,Ghosh et al.(2001)
CA,82,CA3380.2,,55.8,N,-9.5,W,Europe,,,Donegal Basin,L -M -U?,Triassic,,,Calcretes,,,Stoker et al.(1993)
CA,83,CA3381,,43,N,24,E,Europe,Bulgaria,,varied localities,L -M -U?,Triassic,,,Calcretes,,,"Mader,Catalov(in Mader,1992)"
CA,84,CA3382,,44,N,3,E,Europe,France,,Lodeve region,Middle,Triassic,Anisian-Ladinian,,Calcretes,,,"Lopez,Mader(1985; 1992, in Mader, 1992)"
CA,85,CA3383,,47,N,19,E,Europe,Hungary,,,L -M -U?,Triassic,,,Calcretes,,,Mader(1992)
CA,86,CA3383.1,,47,N,17.5,E,,,,,,,,,,,,
CA,87,CA3384,,38,N,-3,W,Europe,Spain,,southeastern Spain,M  - U,Triassic,Ladinian-Norian,,Calcretes,,redbeds,"Fernandez,Dabrio(1985)"
CA,88,CA3385,,51,N,-3,W,Europe,United Kingdom,,England:Exmough region,Middle,Triassic,Anisian-Ladinian,,Calcretes,Otter Sandstone,,"Purvis,Wright(1991)"
CA,89,CA3386,,53,N,-1,W,Europe,United Kingdom,,England:south Devon,L -M -U?,Triassic,,,Calcretes,,,"Mader,Laming(in Mader,1992)"
CA,90,CA3387,,57,N,-6,W,Europe,United Kingdom,,Scotland:western Scotland,Middle,Triassic,,,Calcretes,New Red Sandstone,,Steel(1974)
CA,91,CA3388,,71.5,N,-24,W,North America,Greenland,,,Middle,Triassic,?Ladinian,,Calcretes,basal Edderfugledal Member-Flemming Fjord Frm,,"Dam,Stemmerik(1994)"
CA,92,CA3388.2,,-31,S,-24,W,South America,Argentina,,northwestern Argentina-Ischigualasto Basin,Middle,Triassic,,,Calcretes,,,"Curtin,Parrish(1999)"
CA,93,CA3388.1,,-30,S,-52,W,South America,Brazil,,Parana Basin,Middle,Triassic,,,Calcretes,Santa Maria,,"Holz,Schultz(1998)"
CA,94,CA3388.4,,-29.5,S,-55.3,W,South America,Brazil,,,M  - U,Triassic,Ladinian-Carnian,,Calcretes,Santa Maria,,Pierini et al.(2002)
C,95,C3388.2,,27,N,24,E,Africa,Libya,,eastern Libya,Middle,Triassic,,,Coals,,,Hallett(2002)
