LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso, 
C,289,C4837,60,N,151.0,E,Asia,C.I.S(frm USSR),Khasynskoye Coalfield,Lower,Cretaceous,"Neocomian, Aptian",,Coals,"Suites: Armanskaya,Narauloyskaya(see also)",,The Rijks Geologische Dienst(1982),Khasynskaya
C,290,C4838,62,N,156.0,E,Asia,C.I.S(frm USSR),Omsukchanskaya Coalfield,Lower,Cretaceous,"Aptian , Albian",,Coals,Omsukchanskaya Suite,,The Rijks Geologische Dienst(1982),
C,291,C4839,64,N,159.0,E,Asia,C.I.S(frm USSR),Omolonskaya Area,Lower,Cretaceous,"Aptian , Albian",,Coals,Omsukchanskaya Suite,,The Rijks Geologische Dienst(1982),
C,292,C4840,65,N,163.0,E,Asia,C.I.S(frm USSR),Umkuveyemskaya Area,Lower,Cretaceous,"Aptian , Albian",,Coals,Chimchememelskaya Suite,,The Rijks Geologische Dienst(1982),
C,293,C4841,64,N,168.0,E,Asia,C.I.S(frm USSR),Ainakhurgenskaya Area,Lower,Cretaceous,"Aptian , Albian",,Coals,Chimchememelskaya Suite,,The Rijks Geologische Dienst(1982),
C,294,C4842,67,N,168.0,E,Asia,C.I.S(frm USSR),Nutesinskaya Area,Lower,Cretaceous,"Aptian , Albian",,Coals,Chimchememelskaya Suite,,The Rijks Geologische Dienst(1982),
C,295,C4843,66,N,174.0,E,Asia,C.I.S(frm USSR),Verkhneioniveyemskiy Region,Lower,Cretaceous,"Aptian , Albian",,Coals,Chimchememelskaya Suite,,The Rijks Geologische Dienst(1982),
C,296,C4844,65.5,N,178.5,E,Asia,C.I.S(frm USSR),Seutakanskiy Region,Lower,Cretaceous,"Aptian , Albian",,Coals,Chimchememelskaya Suite,,The Rijks Geologische Dienst(1982),
C,297,C4845,68,N,180.0,E,Asia,C.I.S(frm USSR),Dalnaye Coalfield,Lower,Cretaceous,"Aptian , Albian",,Coals,Chimchememelskaya Suite,,The Rijks Geologische Dienst(1982),
C,298,C4846,68,N,180.0,E,Asia,C.I.S(frm USSR),Dolgozhdannoye Coalfield,Lower,Cretaceous,"Aptian , Albian",,Coals,Kukoveymskaya Suite,,The Rijks Geologische Dienst(1982),
C,299,C4847,54,N,129.0,E,Asia,C.I.S(frm USSR),Verkhnezeysk Area,Lower,Cretaceous,"Aptian , Albian",,Coals,Filimoshkinskaya Suite,,The Rijks Geologische Dienst(1982),
C,300,C4847.1,76,N,149.0,E,Asia,C.I.S(frm USSR),Bennett Islands,Lower,Cretaceous,,,Coals,,,"Nokleberg et al.(1994, p. 137)",
C,301,C4847.2,51,N,106.0,E,,,,,,,,,,,,
C,302,C4849,24,N,69.0,E,Asia,India,Kutch region,Lower,Cretaceous,,Wealden age,Coals,Umia Bed,,"Pareek(written comm., 1990)",
C,303,C4849.1,23,N,79.5,E,Asia,India,Madhya Pradesh,Lower,Cretaceous,,,Coals,Jabalpur,,Dogra et al.(1994),
C,304,C4849.2,20.3,N,86.8,E,Asia,India,Mahanadi Basin,Lower,Cretaceous,,,Coals,,,"Raju,Mishra(1996)",
C,305,C4849.3,15,N,80.0,E,Asia,India,Krishna-Godavari Basin,Lower,Cretaceous,,,Coals,,,"Venkatarengan,Ray(1993)",
C,306,C4849.4,20.25,N,86.5,E,Asia,India,Mahanadi Basin,Lower,Cretaceous,,,Coals,,,Fuloria(1993),
C,307,C4849.5,13,N,80.0,E,Asia,India,Palar Basin,Lower,Cretaceous,Neocomian,,Coals,Sriperumbudur,,Rangaraju et al.(1993),
C,308,C4850,30,N,48.0,E,Asia,"Iraq & adj, Kuwait",,Lower,Cretaceous,,,Coals,Zubair,,Khaiwka(1990),
C,309,C4738,33,N,45.0,E,Asia,"Iraq & adj, Kuwait",central Iraq,Lower,Cretaceous,,,Coals,Zubair,,"Jawad Ali,Aziz(1993)",
C,310,C4851,31,N,35.0,E,Asia,Israel,,Lower,Cretaceous,,,Coals,,,Kisch(1978),"see also Brenner,Bischoff(1992)"
C,311,C4852,33,N,36.0,E,Asia,Israel,Golan Heights,Lower,Cretaceous,Valanginian ,,Coals,Negev Albian-Aptian coals,,"Hirsch(written comm.,1991)",
C,312,C4853,30,N,34.0,E,Asia,Israel,Negev,Lower,Cretaceous,Albian - Aptian,,Coals,,,"Hirsch(written comm.,1991)",
C,313,C4853.1,34,N,35.9,E,,,,,,,,,,,,
C,314,C4854,34,N,134.3,E,Asia,Japan,"Katsuura Coalfield,Shikoku Basin",Lower,Cretaceous,"Albian/Neocomian,Aptian",,Coals,Hoji and Hanoura,,The Rijks Geologische Dienst(1982),
C,315,C4855,37,N,127.0,E,Asia,Korea,,Lower,Cretaceous,,,Coals,,,Hi(1956),see also ESCAP(1985)
C,316,C4856,47,N,110.0,E,Asia,Mongolia,eastern Mongolia,Lower,Cretaceous,,,Coals,,,"Marinov,Cherepivskiy(1969)",
C,317,C4856.1,47.5,N,103.0,E,Asia,Mongolia,,Lower,Cretaceous,Valanginian- Berriasian,,Coals,Arkhangai,,Khand et al.(2000),
C,318,C4856.2,49,N,111.0,E,Asia,Mongolia,,Lower,Cretaceous,Hauterivian-Barremian,,Coals,Shinekhudag,,Khand et al.(2000),
C,319,C4858,10.5,N,116.5,E,Asia,Reed Bank,northwest of Palawan,Lower,Cretaceous,,,Coals,Sampaguita ,,"Taylor,Hayes(1980)",
C,320,C4857,17,N,103.0,E,Asia,Thailand,,Lower,Cretaceous,"Berrias-Barre,Barre-Apt",,Coals,"Phu Kradung, Sao Khua",,Racey et al.(1996),
C,321,C4859,-23,S,149.0,E,Australia,Queenland,Styx River,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),see also Fielding(1992)
C,322,C4860,-25,S,153.0,E,Australia,Queenland,Marysborough Basin,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),see also Fielding(1992)
C,323,C4861,-15,S,144.0,E,Australia,Queenland,"Laura Basin, Cape Yorke",Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),see also Fielding(1992)
C,324,C4862,-25,S,143.0,E,Australia,Queenland,Eromanga Basin,Lower,Cretaceous,,,Coals,Winston,,Day et al.(1983),
C,325,C4863,-25,S,152.0,E,Australia,Queenland,Marysborough Basin,Lower,Cretaceous,,,Coals,Burrum Coal Measures,,Day et al.(1983),
C,326,C4864,-23,S,151.0,E,Australia,Queenland,"Styx Basin, Yarrol Block",Lower,Cretaceous,,,Coals,"Styx Coal Measures, Stanwell Coal Measures",,Day et al.(1983),
C,327,C4865,-28,S,150.0,E,Australia,Queenland,Surat Basin,Lower,Cretaceous,,,Coals,Wallumbilla,,Allen(1998),
C,328,C4866,-31.25,S,130.0,E,Australia,S. Australia,,Lower,Cretaceous,,,Coals,,,Pattinson et al.(1976),
C,329,C4867,-39,S,146.0,E,Australia,Victoria,Wonthaggi Coalfield,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,330,C4868,-38,S,148.0,E,Australia,Victoria,Gippsland Basin,Lower,Cretaceous,,,Coals,Strzelecki Group,,Threlfall et al.(1976),
C,331,C4869,-37,S,142.0,E,Australia,Victoria,offshore,Lower,Cretaceous,,,Coals,Otway Group,,Ellenor(1976),
C,332,C4870,-40,S,146.0,E,Australia,Victoria,Bass Basin,Lower,Cretaceous,,,Coals,Otway Group,,"Williamson,Pigram(1986, Fig. 2)",
C,333,C4870.1,-38,S,142.0,E,Australia,Victoria,Otway Basin,Lower,Cretaceous,,,Coals,Otway Group,,Felton(1997),
C,334,C4871,-30,S,116.0,E,Australia,Western Australia,Perth Basin,Lower,Cretaceous,,,Coals,,,Fielding(1992),
C,335,C4872,-22,S,114.0,E,Australia,Western Australia,,Lower,Cretaceous,,,Coals,Muderong Shale,,Struckmeyer et al.(1990),
C,336,C4873,51,N,-7.0,W,Europe,Ireland,south of; Western Approaches,Lower,Cretaceous,Berriasian- Barremian,,Coals,,,"Ziegler(1982, Encl. 21)",
C,337,C4874,53,N,19.0,E,Europe,,"the Channel, NE. France,N. Germany, N. Poland",Lower,Cretaceous,,,Coals,,,"Ziegler(1982, Encl. 21)",
C,338,C4876,51,N,-6.0,W,Europe,Britain,Bristol Channel Basin,Lower,Cretaceous,Aptian,,Coals,,,"Ziegler(1988, PL. 29)",see also Tappin et al.(1994)
C,339,C4875,49,N,-6.0,W,Europe,Britain,Western Approaches Basin,Lower,Cretaceous,Valanginian to Hauterivian,,Coals,,,"Ziegler(1988, PL. 29)",see also Tappin et al.(1994)
C,340,C4877,55.5,N,-8.0,W,Europe,Britain,Northwest Ireland Shelf,Lower,Cretaceous,Hauterivian,,Coals,,,"Ziegler(1988, Pl. 27)",
C,341,C4878,51,N,-8.0,W,Europe,Britain,Celtic Sea Trough,Lower,Cretaceous,Valangianian to Albian,,Coals,,,"Ziegler(1988, Pl. 27)",
C,342,C4879,49,N,-1.0,W,Europe,Britain,the Wealden of the Isle of Wright,Lower,Cretaceous,,,Coals,,lignite and amber,Nicholas et al.(1993),
C,343,C4879.1,49.5,N,-5.5,W,Europe,Britain,,Lower,Cretaceous,Aptian and Albian,,Coals,,,Evans(1990),
C,344,C4879.2,60,N,-4.0,W,Europe,Britain,West Shetland Basin,Lower,Cretaceous,Valanginian to Albian,,Coals,,,Stoker et al.(1993),
C,345,C4879.3,42,N,24.0,E,Europe,Bulgaria,Madena,Lower,Cretaceous,pre-Upper Albian,,Coals,,,"Bilotte,Pamouktchiev(1990)",
C,346,C4881,81.5,N,40.0,E,Europe,C.I.S(frm USSR),Franz Josef Land,Lower,Cretaceous,Aptian-Albian,,Coals,,,"Kelly(1988, Fig 13)",
C,347,C4882,77,N,45.0,E,Europe,C.I.S(frm USSR),North Barents Basin,Lower,Cretaceous,Aptian,,Coals,,,"Johansen et al.(1993, Fig. 5)",
C,348,C4883,69,N,42.0,E,Europe,C.I.S(frm USSR),"the Pechora Block, the Kola-Kanon Monocline",Lower,Cretaceous,Aptian,,Coals,,,"Johansen et al.(1993, Fig. 5)",
C,349,C4884,72,N,43.0,E,Europe,C.I.S(frm USSR),South Barents Basin,Lower,Cretaceous,Aptian,,Coals,,,"Johansen et al.(1993, Fig. 5)",
C,350,C4885,57.5,N,10.0,E,Europe,Denmark,North Jylland,Lower,Cretaceous,,,Coals,,lignite  ,Larsen(1964),
C,351,C4887,49.5,N,1.5,E,Europe,France,Pays de Bray,L- M-U?,Cretaceous,,,Coals,Wealden facies,with kaolinitic clays,Megnien(1980),
C,352,C4887.1,43,N,1.5,E,Europe,France,Tarascon region,Lower,Cretaceous,Berriasian-Hauterivian,,Coals,,,"Peybernes,Combs(1994)",
C,353,C4888,53,N,8.0,E,Europe,Germany,northwestern Germany ,Lower,Cretaceous,,,Coals,Wealden ,,"Teichmuller,Techmuller(1968)","see also Pelzer et al.(1992); Gorsky et al.(1967), sheet 10, cite Minden-Barsinghusen"
C,354,C4888.1,53.5,N,7.3,E,,,,,,,,,,,,
C,355,C4889,42,N,-9.0,W,Europe,Portugal,Lusitania Basin,Lower,Cretaceous,Valanginian and Barremian,,Coals,,,"Ziegler(1988, Pl. 28)",
C,356,C4889.1,44,N,28.0,E,Europe,Rumania,southern Dobrudja,Lower,Cretaceous,Aptian,,Coals,Gherghina,lignite,Anram et al.(1996),
C,357,C4891,40,N,2.0,W,Europe,Spain,,Lower,Cretaceous,,,Coals,Wealden,"Gierlowski-Kordesch,Janofske(1989)[see also Gierlowski-Kordesch et al.,1991], also cite Wealden ","Gorsky et al.(1967, sheet 9) cite Cuenca",
C,358,C4892,43,N,-2.0,W,Europe,Spain,Hernani,Lower,Cretaceous,,,Coals,Wealden,,Petroconsultants(1977),see also Querol et al.(1992)
C,359,C4895,40,N,-2.0,W,Europe,Spain,,Lower,Cretaceous,Barriasian,,Coals,La Huergina,lignite,Melendez et al.(1994),
C,360,C4895.1,42.75,N,-2.8,W,Europe,Spain,Vitoria Gasteiz region,Lower,Cretaceous,Aptian-Albian,,Coals,,,Alonso et al.(2000),
C,361,C4896,78,N,15.0,E,Europe,Svalbard,,Lower,Cretaceous,Barremian to Albian,,Coals,,,"Ziegler(1988, Pl. 26)",
C,362,C4897.1,-48,S,170.0,E,Europe,New Zealand,Great South Basin,Lower,Cretaceous,,,Coals,Hoiho Group,,Killops et al.(1997),
C,363,C4898,80,N,-90.0,W,North America,Canada,Arctic,L - U?,Cretaceous,,,Coals,Isachsen,,"Ricketts,Embry(1984)",
C,364,C4899,73,N,-123.0,W,North America,Canada,Arctic:Banks and Eglinton Islands,Lower,Cretaceous,,,Coals,,,"Plauchut,Jutard(1976)",see also Miall(1979)
C,365,C4900,71,N,-80.0,W,North America,Canada,"Arctic:Pond Inlet, noerthern Baffin Isalnd",Lower,Cretaceous,,Lower Cretaceous coal(p. 589),Coals,Isachsen,,"Tozer(1970, Fig. X-11, p. 582)",
C,366,C4901,78,N,-100.0,W,North America,Canada,Arctic:Ellef Ringnes Islands,Lower,Cretaceous,,,Coals,Isachsen,,"Bustin,Miall(1991)","see also Tozer,Thorsteinsson(1964)"
C,367,C4902,76,N,-120.0,W,North America,Canada,Arctic:Prince Patrick,Lower,Cretaceous,,,Coals,Isachsen,,"Bustin,Miall(1991)","see also Tozer,Thorsteinsson(1964)"
C,368,C4903,78,N,-112.0,W,North America,Canada,Arctic:Mckenzie King Islands,Lower,Cretaceous,,,Coals,Isachsen,,"Bustin,Miall(1991)","see also Tozer,Thorsteinsson(1964)"
C,369,C4904,72,N,-120.0,W,North America,Canada,Arctic:Banks Islands,Lower,Cretaceous,,,Coals,Isachsen,,"Bustin,Miall(1991)","see also Tozer,Thorsteinsson(1964)"
C,370,C4905,79,N,-92.0,W,North America,Canada,Arctic:Axel Heiberg Island,Lower,Cretaceous,,,Coals,Isachsen,,"Bustin,Miall(1991)","see also Tozer,Thorsteinsson(1964)"
C,371,C4906,68,N,-135.0,W,North America,Canada,Arctic:Donna River,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,372,C4907,69,N,-123.0,W,North America,Canada,Arctic:Darnley Bay,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,373,C4908,76,N,-120.0,W,North America,Canada,Arctic:Prince Patrick Island,Lower,Cretaceous,,,Coals,,,Petroconsultants(1977),
C,374,C4909,69,N,-125.0,W,North America,Canada,Arctic:East Mackenzie region,L - M?,Cretaceous,,,Coals,Langston Bay,,Smith(1989),
C,375,C4910,61,N,-140.0,W,North America,Canada,Arctic:St. Elias Trough,Lower,Cretaceous,Tithonian to Valanginian,,Coals,Dezadeash Group,,"Douglas et al.(1970, Fig. VIII-37; Smith, 1989)",
C,376,C4911,57,N,-129.0,W,North America,Canada,Arctic:Bower Basin,Lower,Cretaceous,"Berriasian-Hauterivian,(Barremian to mid- Albian)",,Coals,"Curriere,(McEvoy)",,"MacLeod,Hills(1990)",
C,377,C4912,67,N,-136.0,W,North America,Canada,"Arctic:Richardson Mountians,Northwest Territories",Lower,Cretaceous,Valanginian,,Coals,,,Jeletzky(1960),
C,378,C4913,67,N,-62.0,W,North America,Canada,"Arctic:Cape Dyer region,Southeastern Baffin Island",Lower,Cretaceous,Aptian-Albian,,Coals,Quqaluit,,"Burden,Langville(1990)",
C,379,C4914,61.5,N,-136.0,W,North America,Canada,Arctic:Yukon,L - ,Cretaceous,,,Coals,Tantalus,,The Rijks Geologische Dienst(1982),see also Long(1986)
C,380,C4915,79,N,-104.0,W,North America,Canada,"Arctic:western and central Sverdrup Basin(Ringnes,King Chritian,Lougheed,Melville Islands)",Lower,Cretaceous,,,Coals,Isachsen,,"Gentzis,Goodarzi(1991, Fig. 3a)",
C,381,C4916,69,N,-133.0,W,North America,Canada,Arctic,Lower,Cretaceous,Valanginian,Dixon(1997) see also Valanginian-Hauterivian,Coals,Kamik,,Dixon(1992),
C,382,C4917,61,N,-135.0,W,North America,Canada,Arctic:Yukon,Lower,Cretaceous,,,Coals,Tantalus,,"Little et al.(1970, p. 522)",
C,383,C4918,61,N,-133.0,W,North America,Canada,Arctic:southwestern Yukon,Lower,Cretaceous,Neocomian,,Coals,,,"McCrossan,Glaister(1966)",
C,384,C4919,50,N,-117.0,W,North America,Canada,"Alberta,British Columbia,Saskatchewan:southeastern British Columbia",Lower,Cretaceous,,Upper Jurassic-Lower Cretaceous,Coals,,,"Dunlap,Bustin(1987)",
C,385,C4920,59,N,-127.0,W,North America,Canada,"Alberta,British Columbia,Saskatchewan:Alberta and British Columbia",L - U?,Cretaceous,,,Coals,Kootenay Group,,Gibson(1985),"see also Cameron,Kalkreuth(1982)"
C,386,C4921,57,N,-122.0,W,North America,Canada,"Alberta,British Columbia,Saskatchewan:Peace River",Lower,Cretaceous,,,Coals,Gething,,"Douglas et al.(1970, Fig. VIII-37; Smith, 1989)",
C,387,C4922,53,N,-155.0,W,North America,Canada,"Alberta,British Columbia,Saskatchewan:Alberta  ",Lower,Cretaceous,,,Coals,Luscar,,"Little et al.(1970, p. 522)",see also Petroconsultants(1977)
C,388,C4923,57,N,-112.0,W,North America,Canada,"Alberta,British Columbia,Saskatchewan",Lower,Cretaceous,,,Coals,McMurray,,Mossop(1980),see also Carrigy(1973)
C,389,C4923.1,55,N,-130.0,W,North America,Canada,"Alberta,British Columbia,Saskatchewan:Sustut,Sifton,Bower Basins of British Columbia",L - M?,Cretaceous,,,Coals,Bower Lake Group,,Dawson(1995),
C,390,C4923.2,50.5,N,-127.0,W,North America,Canada,"Alberta,British Columbia,Saskatchewan:Vancouver Island",Lower,Cretaceous,Aptian-Albian,,Coals,Coal Harbour Group,,Jeletzky(1976),
C,391,C4923.3,55,N,-128.0,W,North America,Canada,"Alberta,British Columbia,SaskatchewanTelkwa Coal Field",Lower,Cretaceous,Neocomian-Aptian,,Coals,Bulkley Canyon,,"Bassett,Kleinspehn(1997)",
C,392,C4924,57,N,-60.0,W,North America,Canada,Labrador Shelf,Lower,Cretaceous,Aptian-Albian,,Coals,,,"Ziegler(1988, Pl. 28)",
C,393,C4925,55,N,-58.0,W,North America,Canada,Labrador Shelf,Lower,Cretaceous,Albian of older,,Coals,Bjarni,in a borehole,Purcell et al.(1980),
C,394,C4926,45,N,-63.0,W,North America,Canada,Nova Sotia:Shubenacadie,L - U?,Cretaceous,,,Coals,,lignite,"Stevenson,MacGregor(1963)",
C,395,C4928,53,N,-132.0,W,North America,Canada,Queen Charlotte Islands,Lower,Cretaceous,,,Coals,Haida,,Smith(1989),
C,396,C4929,70,N,-53.0,W,North America,Greenland,west-central Greenland,L -   U,Cretaceous,,,Coals,,,Henderson et al.(1976),
C,397,C4930.1,41,N,-68.3,W,North America,United States,George Bank area,L -   U,Cretaceous,,,Coals,,COST no. G-1 Well,"Amato,Bebout(1980)",
C,398,C4930.2,40.9,N,-67.5,W,North America,United States,George Bank area,Lower,Cretaceous,Hauterivian-Berriasian?,,Coals,,COST no. G-2 Well,"Amato,Simonis(1980)",
C,399,C4931,70,N,-150.0,W,North America,United States,Alaska:North Slope region,Lower,Cretaceous,,,Coals,,,Barnes(1967b),
C,400,C4932,68,N,-148.0,W,North America,United States,Alaska ,L - U?,Cretaceous,,,Coals,lower part of th Fortress Mountian,,"Schenk,Bird(1993)",
C,401,C4932.1,69,N,-156.0,W,North America,United States,Alaska:Cape Lisburne-Colville River region,Lower,Cretaceous,,,Coals,,,Barnes(1967b),
C,402,C4933,33,N,-112.0,W,North America,United States,Arizona ,L - U?,Cretaceous,,,Coals,Dakota Sandstone,,Andrews et al.(1947),
C,403,C4934,38,N,-73.5,W,North America,United States,Baltimore Canyon Trough,Lower,Cretaceous,,Lyons et al.(1984) cite them as Lower Cretaceous,Coals,,,Libby-French(1981),
C,404,C4935,40,N,-123.0,W,North America,United States,California:Big Bar area,Lower,Cretaceous,Valanginian,,Coals,,,"Jones,Irvin(1971)",
C,405,C4936,38,N,-77.0,W,North America,United States,"Virginia,Maryland,Delaware",L - M?,Cretaceous,,,Coals,Potomac Group,lignites,"Spangler,Peterson(1950)",
C,406,C4937,43,N,-107.0,W,North America,United States,Wyoming,Lower,Cretaceous,,,Coals,Lakota ,,Glass(1981),
C,407,C4938,-50,S,-70.0,W,South America,Argentina,Santa Cruz,Lower,Cretaceous,Neocomian,,Coals,,,Flores- Williams(1978),
C,408,C4938.1,-46.5,S,-71.8,W,South America,Chile,near Chile Chico,Lower,Cretaceous,,,Coals,,,Herve et al.(2000),
C,409,C4939,-12,S,-77.0,W,South America,Peru,west-central Peru,Lower,Cretaceous,,,Coals,,,Petersen(1978),
C,410,C4940,-7,S,-78.0,W,South America,Peru,,Lower,Cretaceous,Valanginian,,Coals,Chimu,,Petroconsultants(1977),see also Ratto(1979)
C,411,C4941,-10,S,-76.0,W,South America,Peru,"Goyllarisquiza Coalfield, Cerro de Pasco",Lower,Cretaceous,Neocomian,,Coals,,,Petroconsultants(1977),see also Ratto(1979)
C,412,C4942,-11,S,-77.0,W,South America,Peru,"Oyen-Crecras Area,Lima",Lower,Cretaceous,Berriasian,,Coals,,,Petroconsultants(1977),see also Ratto(1979)
C,413,C4943,-12,S,-76.0,W,South America,Peru,"Jatunhuasi,Junin",Lower,Cretaceous,,,Coals,Goyllarisquiza Group,,Petroconsultants(1977),see also Ratto(1979)
C,414,C4944,-17,S,-71.0,W,South America,Peru,,L -  U,Cretaceous,,,Coals,Moquegua,,Petroconsultants(1977),see also Ratto(1979)
B,415,B4945,24,N,32.0,E,Africa,Egypt,Aswan region,L -  U,Cretaceous,Aptian-Cenomanian,,Bauxites,,bauxitic kaolins beneath Turonian beds,Germann et al.(1987),see also Germann et al.(1995)
B,416,B4946,17,N,27.0,E,Africa,Sudan,Jebel Tawiga,L -  U,Cretaceous,Aptian to Cenomanian,,Bauxites,,"bauxitic,kaolinitic laleritic clays",Germann et al.(1990),
B,417,B4947,32,N,66.0,E,Asia,Afghanistan,Kandahar,Lower,Cretaceous,,Lower Cretaceous(Quest.),Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",
B,418,B4948,30,N,62.0,E,Asia,Afghanistan,,Lower,Cretaceous,,,Bauxites,,E. Cretaceous lying on bauxite beds that are underlain by L. Jurassic of the Obaru-Shella deposit,Bushinsky(1975),
B,419,B4949,43.5,N,127.0,E,Asia,China,North China:Jiaohe,Lower,Cretaceous,,,Bauxites,Moshiilazi and Baojiatun Frms,bauxitic shale,The Compiling Group of the Regional Stratigraphic Chart of Jilin(1978),
B,420,B4950,42,N,70.0,E,Asia,C.I.S(frm USSR),Chimkent area,Lower,Cretaceous,Valanginian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",
B,421,B4952,49,N,59.0,E,Asia,C.I.S(frm USSR),Mugojar,Lower,Cretaceous,Aptian-Albian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",see also Kirpal(1976)
B,422,B4953,52,N,58.0,E,Asia,C.I.S(frm USSR),Orsk,Lower,Cretaceous,Aptian-Albian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",see also Kirpal(1976)
B,423,B4954,53,N,58.0,E,Asia,C.I.S(frm USSR),Magnitogorsk,Lower,Cretaceous,Aptian-Albian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",see also Kirpal(1976)
B,424,B4955,55,N,61.0,E,Asia,C.I.S(frm USSR),Chelyabinsk,Lower,Cretaceous,Aptian-Albian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",see also Kirpal(1976)
B,425,B4956,57,N,62.0,E,Asia,C.I.S(frm USSR),Kamensk-Uralsk,Lower,Cretaceous,Aptian-Albian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",
B,426,B4957,56.5,N,85.0,E,Asia,C.I.S(frm USSR),Tomsk region of Siberia in the Kuznetsk Alatau,Lower,Cretaceous,Aptian-Albian,,Bauxites,,,Nagorskiy(1980),
B,427,B4958,60,N,60.0,E,Asia,C.I.S(frm USSR),Northern Urals,Lower,Cretaceous,,,Bauxites,,also lateritic nickel deposits,Smirnov(1989),
B,428,B4959,28,N,44.0,E,Asia,Saudi Arabia,,Lower,Cretaceous,Albian,"Bardossy,Dercourt(1990) cite Aptian Az Zabirah",Bauxites,,,Black(1984),
B,429,B4962,41,N,20.0,E,Europe,Albania,,Lower,Cretaceous,between Neocomian and the Barremian-Aptian,,Bauxites,,,Kici et al.(1991),
B,430,B5356,52,N,27.0,E,Europe,Belorus,Pripyat' Depression,Lower,Cretaceous,Aptian and possibly Albian,,Bauxites,,kaolin and bauxite,Zharkov et al.(1995),
B,431,B4962.1,54,N,27.0,E,Europe,Belorus,Belorussian Massif,Lower,Cretaceous,Aptian and possibly Albian,,Bauxites,,kaolin and bauxite,Zharkov et al.(1995),
B,432,B4963,47,N,33.0,E,Europe,C.I.S(frm USSR),Visokopole in the Ukraine,Lower,Cretaceous,,,Bauxites,,lateritic bauxite,Bardossy(1984),
B,433,B4964,51,N,32.0,E,Europe,C.I.S(frm USSR),Ukrainian,Lower,Cretaceous,lower Aptian-Albian,,Bauxites,,,Nikitina(1989),
B,434,B4966,43,N,1.0,E,Europe,France,Ariege in the French Pyrenees,Lower,Cretaceous,Barremian-Albian(Cert.),"see also Combes(1969), for details, much of it is Urgonian",Bauxites,,karst baxite (see also Combes et al.(1989) for the Bacque region bauxite),"Bardossy(1982, Appendix 1)",
B,435,B4971,39,N,23.0,E,Europe,Greece,Euboea and Locris,Upper,Jurassic,,pre-Early Cretaceous,Bauxites,,,Valeton et al.(1987),
B,436,B4971.1,38.2,N,23.5,E,Europe,Greece,northwest of Athens,Lower,Cretaceous,pre-Cenomanian,possibly Early Cretaceous,Bauxites,Marmara deposit,,Weisse(1967),
B,437,B4974,46,N,18.0,E,,,,,,,,,,,,
B,438,B4975,47.5,N,18.5,E,,,,,,,,,,,,
B,439,B4976,40.75,N,8.5,E,Europe,Italy,Nurra in Sardina,Lower,Cretaceous,Aptian-Albian,"cited as Cenomanian-Turonian in Bardossy,Dercourt(1990)",Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",
B,440,B4977,40,N,-9.0,W,Europe,Portugal,"Andorinha,Portugal",Lower,Cretaceous,Barremian-Aptian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",see also Gomes(1968)
B,441,B4978,46,N,24.0,E,Europe,Rumania,Padurea Craiului in the Apuseni Moutains,Lower,Cretaceous,Neocomian(Hyp.),"Bucur et al.(1993), cite bauxite between?Hauterivian and Portlandian strata",Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",see also Grigorescu(1992)
B,442,B4979,46,N,23.0,E,Europe,Rumania,Hateg,Lower,Cretaceous,Aptian-Albian(Hyp.),,Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",
B,443,B4980,47,N,22.0,E,Europe,Rumania,Apuseni Mountians,Lower,Cretaceous,Neocomian,,Bauxites,,,"Bardossy,Dercourt(1990)",
B,444,B4981,41,N,-2.0,W,Europe,Spain,"Maestrazgo,Catalonia",Lower,Cretaceous,Aptian(Cert.),"Combes(1969), cites Barremian",Bauxites,,karst bauxite,"Bardossy(1982, Appendix 1)",see also Molina(1991)
B,445,B4982,41.5,N,-2.0,W,Europe,Spain,Barcelona,Lower,Cretaceous,,,Bauxites,,,"Molina(1991), Molina et al.(1994a,b)",
B,446,B4983,42.5,N,0.0,,Europe,Spain,Pyrenees,Lower,Cretaceous,,,Bauxites,,,"Molina(1991), Molina et al.(1994a,b)","see also Gibbons,Moreno(2002, p. 269)"
B,447,B4984,40,N,-1.0,W,Europe,Spain,"Fuentespalda,Teruel region",Lower,Cretaceous,,,Bauxites,,,"Molina,Salas(1993)",
