LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso, 
E,102,E4684,-27,S,-70.0,W,South America,Chile,Atacama region of northern Chile,Lower,Cretaceous,,U. Jurassic,Evaporite,,,Bell(1989),
E,103,E4685,-23,S,-70.0,W,South America,Chile,Antofagasta region,Lower,Cretaceous,,,Evaporite,"Huaterivian,Barremian Pular,Colo",,"Benavides(1968, Fig. 6, pp. 268-270)",
E,104,E4686,-35,S,-71.0,W,South America,Chile,,Lower,Cretaceous,"""Neocomian""-Aptain or ?",,Evaporite,Albian Colimapu,,Riccardi(1988),
E,105,E4688,-27.5,S,-6.5,W,South America,Chile,,Lower,Cretaceous,Neocomian,,Evaporite,,,"Bell,Padian(1995)",
E,106,E4689,4,N,-74.0,W,South America,Columbia,Bogota region,Lower,Cretaceous,Berr-Valang; Berr-Apt,,Evaporite,,,McLaughlin(1972),
E,107,E4690,5.5,N,-73.0,W,South America,Columbia,Tunja region,Lower,Cretaceous,Hauterivian,,Gypsum,,,Serna(1968),
E,108,E4691,-0.5,S,-77.0,W,South America,Ecuador,,Lower,Cretaceous,,U. Jurassic,Evaporite,Chapiza,,Canfield et al.(1982),
E,109,E4692,3,N,-60.0,W,South America,Guyana,Takutu Graben,Lower,Cretaceous,Neocomian,,Evaporite,Takutu,,"Gibbs,Barron(1993)",see van der Hammen and Burger(1996)
E,110,E4693,-15,S,-72.0,W,South America,Peru,southern Peru,Lower,Cretaceous,Valanginian,,Limestone,Santa Limestone,,"Benavides(1968, Fig. 6, pp. 268-270)",
E,111,E4694,10.5,N,-61.3,W,South America,Trinidad,,Lower,Cretaceous,,,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,112,E4695,10,N,-69.0,W,South America,Venezuela,"Sierra de Aroa,Yaracuy Prov.,Macuro,Sucre Prov.",Lower,Cretaceous,,,Evaporite,,,"Claypool et al.(1980, Appendix)",
E,113,E4695.1,10,N,-64.0,W,,,,,,,,,,,,
E,114,E4696,9,N,-70.5,W,South America,Venezuela,,Lower,Cretaceous,,,Evaporite,Rio Negro,,Rodriguez(1989),
E,115,CA4697,10,N,15.0,E,Africa,Cameroon,Koum Basin,Lower,Cretaceous,probable Aptian,,Calcretes,,,Congleton et al.(1992),
CA,116,CA4698,17,N,8.0,E,Africa,Niger,Agadez region,Lower,Cretaceous,,,Calcretes,Tiouaren(Irhazer Group),,"Moody,Sutcliffe(1991)",see also Moody(1997)
CA,117,CA4699,-15,S,32.0,E,Africa,South Africa,and adjacent areas,Lower,Cretaceous,,Senonian or even Paleocene,Calcretes,,nonmarine beds with widespread calcretes,"Both, DeWit(1996)",
CA,118,CA4700,-22,S,31.0,E,Africa,South Africa,and adjacent areas,Lower,Cretaceous,,Senonian or even Paleocene,Calcretes,,nonmarine beds with widespread calcretes,"Both, DeWit(1996)",
CA,119,CA4701,-24,S,31.0,E,Africa,South Africa,and adjacent areas,Lower,Cretaceous,,Senonian or even Paleocene,Calcretes,,nonmarine beds with widespread calcretes,"Both, DeWit(1996)",
CA,120,CA4701.1,36,N,128.3,E,Asia,Korea,southeastern Korea,Lower,Cretaceous,Hauterivian-Barremian,,Calcretes,Sindong Group,,Rhee et al.(1998),
CA,121,CA4701.2,36,N,128.5,E,Asia,Korea,,Lower,Cretaceous,,,Calcretes,Hasandong,,Lee(1999),see also Paik(2000)
CA,122,CA4701.3,34,N,131.0,E,Asia,Japan,"northernmost Kyushu, westernmost Honshu",Lower,Cretaceous,Aptian-Albian,,Calcretes,Shiohama,,"Lee,Hisada(1999)",
CA,123,CA4702,17,N,101.0,E,Asia,Thailand,,Lower,Cretaceous,,,Calcretes,Phu Kradung,,"Bristow et al.(1994; oral comm. Bristow, 1994)","see also Racey et al. For discussion of age; Racey et al., 1996 indicate Berriasian-Barremian for the Phu Kradung"
CA,124,CA4703,43,N,-4.0,W,Europe,Spain,northern Spain,Lower,Cretaceous,,,Calcretes,Rupelo,,"Platt(1989;1994,from the Rupelo formation)",
CA,125,CA4704,42,N,-3.3,W,Europe,Spain,Cameros Basin,Lower,Cretaceous,Kimmeridgian-Berriasian,U. Jurassic,Calcretes,,,Wright et al.(1995),
CA,126,CA4704.1,51,N,0.0,,U. K.,England,southeastern England,Lower,Cretaceous,middle Purbeck,,Calcretes,,,Allen(1998),
CA,127,CA4704.2,49.75,N,-114.5,W,North America,Canada,Alberta & British Columbia,Lower,Cretaceous,Berriasian,,Calcretes,,,"Leckie,Cheel(1997)",
CA,128,CA4705,15.5,N,-91.5,W,North America,Guatemala,Huehuetenango region,Lower,Cretaceous,,,Calcretes,Ixcoy Limestone,,"Blount,Moore(1969)",
CA,129,CA4706,16,N,-91.5,W,North America,Mexico,"Chiapas, western Chiapas",Lower,Cretaceous,,U. Jurassic,Calcretes,,,Blair(1988),
CA,130,CA4706.1,32,N,-110.0,W,North America,United States,"Arizona, Bisbee region",Lower,Cretaceous,Aptian,,Calcretes,Glance,,Ekart et al.(1999),
