LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,78,E770,,44,N,28,E,Europe,Rumania,,Dobrudga Basin,L - M,Carboniferous,Mississippian,"Tournaisian,Visean",,Evaporites,,,"Zharkov(1981, Figs. 9,21)",
E,79,E771,,53,N,-1,W,United Kingdom,England,,Derbyshire,Middle,Carboniferous,Mississippian,Visean,,Evaporites,,,Walkden(1974),
E,80,E772,,56,N,3,E,United Kingdom,England,,"Craven Basin nr Liverpool,and in the Central North Sea",Middle,Carboniferous,Mississippian,Visean,,Evaporites,,,"Ziegler(1988,PL. 23)",
E,81,E773,,56,N,-4,W,United Kingdom,Scotland,,Edinburgh and West Lothian areas,L - M,Carboniferous,Mississippian,,,Gypsum,Cementstone Group,,"Cameron,Stephenson(1985, p. 61)",
E,82,E774,,52,N,-4,W,United Kingdom,Wales,,South Wales,L - M,Carboniferous,Mississippian,,,Evaporites,Main Limestone Series,,Bhatt(1975),
E,83,E775,,50,N,-100,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",L - M,Carboniferous,Mississippian,,,Evaporites,,,"Fuller,Porter(1969)discuss evaporites frm Alberta,Saskatchewan and North Dakota",
E,84,E776,,50,N,-115,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",L - M,Carboniferous,Mississippian,,,Evaporites,,,"Meijer Drees(1986)sums. the units pres. In S. portion of the NW Terr.,Alberta,B. Columbia",
E,85,E777,,60,N,-125,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",L - M,Carboniferous,Mississippian,,,Evaporites,,,"Meijer Drees(1986)sums. the units pres. In S. portion of the NW Terr.,Alberta,B. Columbia",
E,86,E778,,51,N,-114,W,N. America,Canada,,"Alberta,British Columbia,Yukon Terr.,Dist. of Mackenzie,Williston Basin",Middle,Carboniferous,Mississippian,Visean,,Evaporites,Mount Head,,"Al-Aasm,Lu(1993) cite evaporites frm W of Calgary and E of the Tintina",
E,87,E779,,45,N,-64,W,N. America,Canada,,Maritime Provinces and Newfoundland:Maritime Provinces,Middle,Carboniferous,Mississippian,Visean,,Evaporites,Windsor Group and correlatives,,Pearson(1963);Calder(1998),
E,88,E780,,47,N,-67,W,N. America,Canada,,Maritime Provinces and Newfoundland:Plaster Rock,Middle,Carboniferous,Mississippian,Visean,,Evaporites,Windsor Group and correlatives,,Pearson(1963);Calder(1998),
E,89,E781,,48,N,-58,W,N. America,Canada,,Maritime Provinces and Newfoundland:southwestern Newfoundland,Middle,Carboniferous,Mississippian,Visean,,Gypsum,Codroy Group,,Rose et al.(1970),"see Knight,1983, for an account of these Visean beds "
E,90,E782,,45,N,-52,W,N. America,Canada,,Maritime Provinces and Newfoundland:Whale Basin off SW Newfound.,Middle,Carboniferous,Mississippian,,,Evaporites,Windsor Group ,,"Balkwill,Legall(1989)",
E,91,E783,,49,N,-57,W,N. America,Canada,,Maritime Provinces and Newfoundland:Deer Lake Basin,Middle,Carboniferous,Mississippian,,,Evaporites,,lacustrine analcime,"Gail,Hyde(1989)",
E,92,E783.1,,46.5,N,-60,W,,,,"offshore Nova Scotia, boreholes",,,,,,,,,,
E,93,E784,,69.5,N,-146,W,N. America,United States,,Alaska,Middle,Carboniferous,Mississippian,Meramec,,Evaporites,"Kayak,lower Alapah",,Gruzlovic(1991),"see also Mamet,Batz(1989)"
E,94,E785,,37,N,-90,W,N. America,United States,,Illinois:Illinois Basin in southern Illinois,Middle,Carboniferous,Mississippian,Meramecian; later Visean,,Evaporites,St. Louis ,,"Schutter(written Comm.,1990)",
E,95,E786,,38,N,-87,W,N. America,United States,,Indiana:southwestern Indiana,Middle,Carboniferous,Mississippian,Meramecian,,Evaporites,,,Bundy(1956),
E,96,E787,,42,N,-93,W,N. America,United States,,Iowa,Middle,Carboniferous,Mississippian,,,Evaporites,,,"Witzke,Mckay(1987)",
E,97,E788,,38,N,-96,W,N. America,United States,,Kansas,Middle,Carboniferous,Mississippian,,,Anhydrites,St. Louis Limestone ,,Goebel(1968),
E,98,E789,,37,N,-87,W,N. America,United States,,Kentucky:southern Kentucky and adj. western Tennessee,Middle,Carboniferous,Mississippian,,,Anhydrites,,anhydrite nodule-like chert nodules,Milliken(1979),
E,99,E790,,43,N,-85,W,N. America,United States,,Michigan:Michigan Basin,L - M,Carboniferous,Mississippian,Osage through Meramec,"Chester age strata are abs owing to a major uncon. beneath the Morrow,Penn.",Evaporites,,,Cohee(1979),see also Harrell et al.(1991)
E,100,E791,,46,N,-112,W,N. America,United States,,Montana:southwestern Montana,Middle,Carboniferous,Mississippian,,,Evaporites,Madison Group,,Middleton(1961),
E,101,E792,,35,N,-106,W,N. America,United States,,New Mexico,L - M,Carboniferous,Mississippian,Osagean,,Gypsum,Espiritu Santo,,Armstrong(1975b),
E,102,E793,,47,N,-100,W,N. America,United States,,North Dakota:Willliston Basin on the U.S. side,Lower,Carboniferous,Mississippian,"E. Mississippian,Tournaisian",,Evaporites,Madison Group,,Reed(1963),
E,103,E794,,36,N,-87,W,N. America,United States,,Tennessee:central Tennessee,Middle,Carboniferous,Mississippian,,,Evaporites,,"celestite nodules,where the celestite is consid to have replaced anhy. nod.of sabkha type","Chowns,Elkins(1974)",
E,104,E795,,37,N,-80,W,N. America,United States,,Virginia:south central Virginia,L-M-U,Carboniferous,Mississippian,,,Evaporites,,,Cooper(1966),
E,105,E795.1,,47,N,-104,W,N. America,United States,,Williston Basin(Montana and North Dakota,Lower,Carboniferous,Mississippian,,,Evaporites,Madison Group,,Johnson(1989),
CA,106,CA1356.1,,-22,S,144,E,Australia,Queensland,,,Middle,Carboniferous,Mississippian,mid-Visean,,Calcretes,Ducabrook,,Parker(2001),"see Olgers,1972 for information about the Ducabrook Formation"
CA,107,CA796,,51,N,5,E,Europe,"Belgium,Germany",,Belgium and adjacent Germany,L-M-U,Carboniferous,Mississippian,,,Calcretes,,,"Wright,Peters(1989)",
