LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,43,E1342.1,,78,N,18,E,Europe,Svalbard,,,L - M,Carboniferous,Pennsylvanian,Bashkirian-Moscovian(Moscovian),,Evaporites,Minkinfjellet(Hyrnefjellet),,"Harland(1997, p.310)",
E,44,E1341,,43,N,-6,W,Europe,Spain,,Asturias,Lower,Carboniferous,Pennsylvanian,Namurian B,,Evaporites,,,Gonzales Lastra(1978),
E,45,E1342,,42.6,N,-1.5,W,Europe,Spain,,,Lower,Carboniferous,Pennsylvanian,Namurian ,,Evaporites,,magnesite,Velasco et al.(1987),
E,46,E1343,,57,N,-117,W,N. America,Canada,,Alberta:Peace River Embayment area,L - M - U?,Carboniferous,Pennsylvanian,,,Evaporites,,,"Douglas et al.(1970, Fig. VIII-23)",
E,47,E1344,,80,N,-90,W,N. America,Canada,,Arctic:Sverdrup Basin,Lower,Carboniferous,Pennsylvanian,,see Mississippian section,Evaporites,Otto Fiord,,Davies(1973),
E,48,E1345,,77,N,-83,W,N. America,Canada,,Arctic:Ellesmere Island,Middle,Carboniferous,Pennsylvanian,Moscovian,,Evaporites,,,"Claypool et al.(1980,Appendix)",
E,49,E1345.1,,76,N,-83,W,N. America,Canada,,Arctic:Ellesmere Island,Lower,Carboniferous,Pennsylvanian,Namurian or Bashkirian,,Evaporites,,,"Claypool et al.(1980,Appendix)",
E,50,"E1345,2",,81,N,-84,W,,,,,,,,,,,,,,
E,51,E1346,,82,N,-20,W,N. America,Canada,,Greenland:northern Greenland,M - U,Carboniferous,Pennsylvanian,Moscovian to Gzhelian,,Evaporites,"Foldedal,Kap Jungerson(including th Ingolf Fjord Member)",,"Stemmerik,Hakansson(1989)",
E,52,E1346.1,,81,N,-15,W,N. America,Canada,,Greenland:northern Greenland,M - U,Carboniferous,Pennsylvanian,Moscovian to Gzhelian,,Evaporites,Foldedal and the underlying Ingolf Member,,Stemmerik(1989),
