LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
C,74,C1906,,41,N,79,E,Asia,China,,Tarim and Xinjiang:Aheqi,L - M - U?,Carboniferous,Pennsylvanian,,Upper Carboniferous,Coals,Bijingtawu,,Wang Zhen-ji(1990),
C,75,C1907,,39.7,N,101.6,E,Asia,China,,"Tarim and Xinjiang:Dunliuke,Xinjinang",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Yingebulake,,Li et al.(1994),
C,76,C1908,,37.1,N,79.9,E,Asia,China,,"Tarim and Xinjiang:Hetian,Xinjiang",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Piyaman,,Wu(1991),
C,77,C1909,,38,N,102,E,Asia,China,,Chaidam:Yongchang,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,"Jiaan,Daquan",,Wang Zhen-ji(1990),
C,78,C1910,,39,N,94,E,Asia,China,,Chaidam:Aksai,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,,,Wang Zhen-ji(1990),
C,79,C1911,,39,N,100,E,Asia,China,,Chaidam:Sunan,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,,,Wang Zhen-ji(1990),
C,80,C1912,,38,N,102,E,Asia,China,,Chaidam:Qilian,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,,,Wang Zhen-ji(1990),
C,81,C1913,,40,N,97,E,Asia,China,,Chaidam:Yumen,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,,,Wang Zhen-ji(1990),
C,82,C1914,,35,N,106,E,Asia,China,,N.China:Tongwei,Upper,Carboniferous,Pennsylvanian,,Late Pennsylvanian,Coals,,,Wang Zhen-ji(1990),
C,83,C1915,,39,N,105,E,Asia,China,,N.China:Alxa,Upper,Carboniferous,Pennsylvanian,,Late Pennsylvanian,Coals,,,Wang Zhen-ji(1990),
C,84,C1916,,38.5,N,106,E,Asia,China,,N.China:Helanshan,Upper,Carboniferous,Pennsylvanian,,Late Pennsylvanian,Coals,,,Wang Zhen-ji(1990),
C,85,C1917,,41.5,N,108.5,E,Asia,China,,N.China:Wulate Banner-Shiguaizi,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,"Shetai,Shuanmazhung",,Wang Zhen-ji(1990),
C,86,C1918,,42,N,109,E,Asia,China,,N.China:Wulate Banner-Shiguaizi,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,"Shetai,Shuanmazhung",,Wang Zhen-ji(1990),
C,87,C1920,,42.5,N,109.5,E,Asia,China,,N.China:Wulate Banner-Shiguaizi,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,"Shetai,Shuanmazhung",,Wang Zhen-ji(1990),
C,88,C1921,,35.5,N,110.5,E,Asia,China,,N.China:Hancheng,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,89,C1922,,40,N,111,E,Asia,China,,N.China:Zhungeer Banner-Fugu,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,90,C1923,,35.75,N,110.5,E,Asia,China,,N.China:Heyang-Xiangning,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,91,C1924,,38,N,112.5,E,Asia,China,,"N.China:Shanxu Province mainly from the Xinshui Basin,including Gujiao,Taiyuan",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,92,C1925,,38,N,113.5,E,Asia,China,,N.China:Yuxian,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,93,C1926,,38,N,114,E,Asia,China,,N.China:Jinjing,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,94,C1927,,36.5,N,112.5,E,Asia,China,,N.China:Jiaokou,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,95,C1928,,36,N,112,E,Asia,China,,"N.China:Fengxi,Yicheng",L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,96,C1929,,35,N,112,E,Asia,China,,N.China:Yuanqiu,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,97,C1930,,35.5,N,113,E,Asia,China,,N.China:Jincheng,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,98,C1931,,40,N,113,E,Asia,China,,N.China:Datong,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,99,C1932,,39,N,112,E,Asia,China,,N.China:Ningwu,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,100,C1933,,35,N,113,E,Asia,China,,N.China:Jiaozuo,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,101,C1934,,40,N,116,E,Asia,China,,N.China:western Beijing,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
C,102,C1935,,41,N,124,E,Asia,China,,N.China:northeastern China-Benxi,L - M - U?,Carboniferous,Pennsylvanian,,,Coals,Tiayuan,,Wang Zhen-ji(1990),
