LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Series,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,50,E5703.1,,48,N,7.5,E,Europe,France,,southern part of the Rhine Graben,Middle,Paleogene,Eocene,Lutetian,Eocene,Evaporites,,,"Blanc-Valleron,Schuler(1997)",
E,51,E5703.2,,45,N,5,E,Europe,France,,Valence Basin,Middle,Paleogene,Eocene,Lutetian,Eocene,Evaporites,,,"Dromart,Dumas(1997)",
E,52,E6040,,49,N,8,E,Europe,Germany,,Rhine Graben,Middle,Paleogene,Eocene,,Late Eocene-Early Eocene,Evaporites,,,Richter-Bernburg(1972),
E,53,E6041,,47,N,24,E,Europe,Rumania,,near Cluj,Middle,Paleogene,Eocene,,Eocene,Evaporites,,several Eocene horizons,Popoescu(1976),
E,54,E6042,,40,N,-5,W,Europe,Spain,,,Middle,Paleogene,Eocene,,Middle and Late Eocene,Evaporites,,,"Rios(1968, pp. 61, 69)",
E,55,E6043,,42,N,-2,W,Europe,Spain,,Ebro Valley occurrences,Middle,Paleogene,Eocene,,Middle and Late Eocene,Evaporites,,,"Rios(1968, pp. 61, 69)","see also Orti(1997), for Ebro Basin Middle and Late occurrences;Peyros et al.(2000) for Bartonian near Pamplona"
E,56,E6044,,41,N,0,,Europe,Spain,,Ebro Valley occurrences,Middle,Paleogene,Eocene,,Middle and Late Eocene,Evaporites,,,"Rios(1968, pp. 61, 69)","see also Orti(1997), for Ebro Basin Middle and Late occurrences;Peyros et al.(2000) for Bartonian near Pamplona"
E,57,E6045,,42,N,0,,Europe,Spain,,south-central Pyrenees near Tremp,Middle,Paleogene,Eocene,Priabonian,Upper Eocene,Evaporites,Guarga,,Nickel(1982),
E,58,E6046,,41,N,1,E,Europe,Spain,,eastern Ebro Basin,Middle,Paleogene,Eocene,,Middle and Late Eocene,Gypsum,,,Anadon(1994),
E,59,E6047,,22,N,-80,W,North America,Cuba,,,Middle,Paleogene,Eocene,,Middle Eocene,Evaporites,,,"Meyerhoff,Hatten(1968)",
E,60,E6048,,20,N,-75,W,North America,Cuba,,Guantanmo Basin,L -M -U?,Paleogene,Eocene,,,Evaporites,,anhydrite,Furrazola-Bermudez et al.(1964),
E,61,E6049,,18,N,-77,W,North America,Jamaica,,,Middle,Paleogene,Eocene,,Lower Eocene,Evaporites,,,Holliday(1971),see also Burne(1972)
E,62,E6050,,20,N,-88,W,North America,Mexico,,,L  - M,Paleogene,Eocene,,Paleocene-Eocene,Evaporites,Icaiche,,"Claypool et al.(1980, Appendix)","see also Butterlin,Bonet(1966);Lopez Ramos(1975)"
