LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Stage,Period,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
E,50,E119,,36,N,-117,W,N. America,United States,,"S. California & adj. Nevada, Cottonwood Mts",M - U,,Cambrian,,Evaporite,,"eva. Nodules(cauliflower chert nod.represent.orgin.anhydrite nod.),evaporitic solution collapse breccias","Montanez(written comm., 1993)",
E,51,E120,,34.5,N,-115.5,W,N. America,United States ,,S. California & adj. Nevada,Middle,,Cambrian,,Halite,Cadiz,salt mold casts from a sandstone bed,Foster(1994),
E,52,E121,,39.5,N,-79,W,N. America,United States,,western Maryland,Upper,,Cambrian,,Evaporite,Conococheague Limestone,probable calcite pseudomorphs after anhydrite nodules,Hardie(1986),"see also Demicco, Hardie, 1981, p 67"
E,53,E122,,44,N,-85,W,N. America,United States,,"Michigan, Michgan Basin",Upper,,Cambrian,,Anhydrite,Munising,anhydrite member,Catacosinas(1973),
E,54,E122.1,,43,N,-85,W,N. America,United States,,"Michigan, Gratiot County",Upper,,Cambrian,,Evaporite,,in the Sparks-Eckelbarger-Whightsill # 1-8 well,"Bricker(written comm., 1998)",
E,55,E123,,38,N,-92,W,N. America,United States,,Missouri,Upper,,Cambrian,,Evaporite,Gasconade,use indirect evidence to suggest the presence of evaporites,"Folk, Pittman(1971",
E,56,E124,,43,N,-74,W,N. America,United States,,"New York, eastern New York",Upper,,Cambrian,,Evaporite,,indirect evidence,"Rubin,Friedman(1977)",
E,57,E125,,41,N,-77,W,N. America,United States,,"Pennsylvania, central Pennsylvania",Upper,,Cambrian,,Dolomite,,U. Penn. Mines Dolomite,"Folk, Pittman(1971",
E,58,E126,,40.5,N,-77,W,N. America,United States,,"Pennsylvania, Juniata County",Upper,,Cambrian,,Evaporite,Gatesburg,the #1 Shae Mountian well,Riley et al.(1993),
E,59,E127,,36,N,-83,W,N. America,United States,,Tennessee,Middle,,Cambrian,,Evaporite,Maryville Limestone,crystal pseudomorphs and other evaporitic evidence,Rankey et al.(1995),
E,60,E128,,37,N,-80,W,N. America,United States,,"Virginia, extending frm pts of Tenn, Penn, Vir. ",L - M,,Cambrian,,Evaporite,,Max Meadows Breccia within the Pulaski Fault may represent a dissolved evaporitic horizon,Rodgers(1970),
E,61,E129,,36.5,N,-82,W,N. America,United States,,"Virginia,southern Virginia",Upper,,Cambrian,,Evaporite,Noliichhucky Shale,probable calcite pseudomorphs after anhydrite nodules,Hardie(1986),
E,62,E130,,37,N,-81,W,N. America,United States,,"West Virginia, Pendleton County",Middle,,Cambrian,,Anhydrite,Elbrook,in subsurface,Rodgers(1970),
E,63,E131,,-31,S,-69,W,S. America,Argentina,,,Upper,,Cambrian,,Evaporite,La Flecha of the Precordillera,pseudomorphs,Keller et al.(1989),
CA,64,CA132,,-31,S,-69,W,S. America,Argentina,,,Upper,,Cambrian,,Calcrete,La Flecha of the Precordillera,supratidal calcrete,Keller et al.(1989),"see also Keller, 1999"
O,65,O132.3,,32.5,N,107.5,W,N. America,United States,,"New Mexico,southern New Mexico",Upper,,Cambrian,Early Ordovician,Oolites,Bliss Sandstone,glauconite and hematite oolites,Hayes(1975),which Van Houten and Bhattacharyya(1982) regard as ferric oxide and chamosite
O,66,O132.1,,35,N,99,W,N. America,United States,,"Oklahoma, north of the Wichita Mts",Upper,,Cambrian,,Oolites,Reagan Sandstones,"hematite and ""green mineral"" oolites",Hayes(1933),which Van Houten and Bhattacharyya(1982) regard as ferric oxide and chamosite
O,67,O132.2,,31,N,97.5,W,N. America,United States,,"Texas, Llano Uplift",Upper,,Cambrian,,Oolites,Riley,hematite and glauconite oolites,"Barnes, Bell(1977)",which Van Houten and Bhattacharyya(1982 regard as ferric oxide and chamosite
K,68,K133,,-24,S,132,E,Australia,Amadeus Basin,,,Upper,,Cambrian,,Kaolinite,Goyder,"detrital kaolinite, may rep. material frm humid upland sites",Laurie et al.(1991),
