Times,Sea_level
149.0487645,174.1392042
148.8207544,174.0483918
148.5927894,173.7962363
148.3648799,173.3966353
148.1370367,172.8640318
147.9092707,172.212121
147.6815934,171.4539273
147.454017,170.601878
147.226554,169.6678727
146.9992175,168.6633502
146.7720216,167.5993531
146.5449809,166.4865895
146.3181109,165.3354935
146.091422,164.1547798
145.8649023,162.9475598
145.6385357,161.7155722
145.4123071,160.4604216
145.1862019,159.1835872
144.9602063,157.8864308
144.7343071,156.570204
144.5084916,155.2360552
144.2827476,153.8850356
144.0570631,152.5181052
143.8314268,151.1361378
143.6058273,149.7399552
143.380256,148.3310524
143.1547068,146.9116574
142.9291739,145.4840013
142.7036513,144.0502884
142.4781333,142.6127036
142.252614,141.173419
142.0270877,139.7346015
141.8015484,138.2984193
141.5759904,136.8670492
141.3504076,135.4426835
141.1247941,134.0275372
140.8991437,132.6238552
140.6734503,131.2339192
140.4477074,129.8600556
140.221909,128.5044523
139.9960598,127.1655388
139.7701741,125.8382845
139.5442664,124.5175846
139.3183512,123.198368
139.0924429,121.8755711
138.8665559,120.5441119
138.6407048,119.1988645
138.4149042,117.8346325
138.1891692,116.4461229
137.963515,115.0279188
137.7379575,113.5744522
137.5125067,112.0820547
137.2870895,110.5754774
137.0615722,109.1002194
136.8358179,107.7027317
136.6096863,106.4306562
136.3830312,105.3335549
136.1556983,104.4636694
135.9275573,103.8718524
135.6987659,103.5700926
135.46963,103.5512666
135.2404535,103.8107494
135.01154,104.3465561
134.7831955,105.1593236
134.5557316,106.2523163
134.3294679,107.631457
134.1047358,109.3053833
133.8817474,111.2716839
133.6602262,113.4783557
133.4397921,115.8637115
133.2200782,118.3681735
133.0007259,120.93357
132.781381,123.5024483
132.5616892,126.0173972
132.3412929,128.4204586
132.1199651,130.6740125
131.8977866,132.7883572
131.6748731,134.7791132
131.4513316,136.6604792
131.227262,138.4453963
131.0027583,140.1456966
130.777909,141.7722387
130.552799,143.3350206
130.3274894,144.8419241
130.1020006,146.2977664
129.8763481,147.7068592
129.6505469,149.07333
129.4246112,150.4011382
129.1985548,151.6940911
128.9723908,152.9558586
128.7461321,154.1899878
128.5197912,155.3999169
128.2933802,156.5889887
128.0669109,157.7604639
127.8403951,158.9175339
127.6138441,160.0633332
127.3872686,161.2007467
127.1606716,162.3306173
126.9340523,163.4526358
126.7074096,164.5664693
126.4807423,165.6717739
126.2540494,166.7681946
126.0273297,167.8553641
125.800582,168.932903
125.573805,170.0004187
125.3469976,171.0575054
125.1201584,172.1037433
124.8932861,173.1386979
124.6663792,174.1619199
124.4394363,175.1729438
124.212456,176.1712883
123.9854366,177.1564547
123.7583766,178.1279268
123.5312744,179.08517
123.3041282,180.0276306
123.0769363,180.9547353
122.8496968,181.86589
122.6224079,182.7604792
122.3950676,183.6378654
122.1676739,184.4973283
121.9402248,185.3367118
121.7127182,186.1523848
121.4851521,186.9405914
121.257524,187.6975044
121.0298316,188.4192157
120.8020722,189.1017258
120.5742428,189.7409339
120.3463407,190.332627
120.1183625,190.872469
119.8903049,191.3559896
119.6621643,191.7785726
119.4339368,192.135444
119.2056185,192.4216595
118.9772051,192.6320921
118.7486921,192.7614183
118.5200747,192.8041045
118.2913627,192.7526209
118.0626798,192.5851263
117.8342032,192.2711233
117.6061149,191.7766862
117.3786064,191.0637071
117.1518819,190.0891224
116.926087,188.8270879
116.7012115,187.2989175
116.4772288,185.5308948
116.2541184,183.5476903
116.0318656,181.3725278
115.8104617,179.02734
115.5899035,176.5329165
115.3701934,173.909043
115.1513398,171.1746353
114.9333566,168.3478653
114.7162495,165.4454671
114.4999364,162.4781671
114.2843045,159.4538466
114.0692474,156.3798045
113.8546647,153.2628379
113.640461,150.1093101
113.4265444,146.9252152
113.212826,143.716239
112.9992186,140.4879125
112.7856206,137.2500827
112.5719087,134.0188298
112.3579567,130.8107706
112.1436364,127.6427442
111.9288158,124.5319745
111.7133583,121.496235
111.497121,118.55402
111.2799536,115.7247218
111.0617107,113.0274937
110.842383,110.4687428
110.6220392,108.0476689
110.4007414,105.7644932
110.1785433,103.6205747
109.9554914,101.6184207
109.7316253,99.76170812
109.5069776,98.05531315
109.2815746,96.50535198
109.0554371,95.11918866
108.8286283,93.9030295
108.6012797,92.86097248
108.3735225,91.9989908
108.1454825,91.32536837
107.9172822,90.85080612
107.6890417,90.58855927
107.4608808,90.55460747
107.2329068,90.7628433
107.0051371,91.19553273
106.7775521,91.822385
106.5501335,92.61452772
106.3228644,93.54433762
106.0957288,94.58523187
105.8687119,95.71146712
105.6417996,96.89794499
105.4149787,98.12002237
105.1882368,99.35332546
104.9615599,100.5773838
104.7349273,101.7851158
104.5083171,102.9723246
104.2817072,104.1347322
104.0550757,105.2679621
103.8284007,106.3675218
103.6016598,107.4287853
103.3748307,108.4469746
103.1478905,109.4171407
102.920816,110.3341439
102.6935834,111.1926335
102.4661682,111.9870266
102.2385454,112.7114858
102.0106938,113.3613528
101.7826797,113.9583952
101.5546454,114.547299
101.3267355,115.1734062
101.0990968,115.8827562
